    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes  =1.22158e+07*10^-6 usec   =2.61957e-06 MB/s
       128 bytes  =1.39822e+07*10^-6 usec   = 1.8309e-05 MB/s
      1024 bytes  =1.39047e+07*10^-6 usec   =0.000147288 MB/s
      8192 bytes  =1.39474e+07*10^-6 usec   =  0.0011747 MB/s
     65536 bytes  =1.39798e+07*10^-6 usec   = 0.00937579 MB/s
    524288 bytes  =1.40541e+07*10^-6 usec   =  0.0746101 MB/s
   4194304 bytes  =1.72129e+07*10^-6 usec   =   0.487345 MB/s
  33554432 bytes  =1.85346e+07*10^-6 usec   =   0.66203  MB/s
