    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes  5.93896e+06 usec   5.38815e-06 MB/s
       128 bytes  5.96576e+06 usec   4.29115e-05 MB/s
      1024 bytes  5.92784e+06 usec   0.000345488 MB/s
      8192 bytes   5.9308e+06 usec    0.00276253 MB/s
     65536 bytes  5.97416e+06 usec     0.0219398 MB/s
    524288 bytes  6.46272e+06 usec       0.16225 MB/s
   4194304 bytes  1.01394e+07 usec      0.827324 MB/s
  33554432 bytes  5.12268e+07 usec       1.31003 MB/s
