    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes      1329.37 usec     0.0240715 MB/s
       128 bytes      1270.09 usec      0.201561 MB/s
      1024 bytes       1087.4 usec        1.8834 MB/s
      8192 bytes      1133.76 usec        14.451 MB/s
     65536 bytes      1031.47 usec       127.073 MB/s
    524288 bytes      1220.03 usec       859.471 MB/s
   4194304 bytes      1512.66 usec       5545.61 MB/s
  33554432 bytes         1237 usec       54251.4 MB/s
