    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes      0.91236 usec       35.0739 MB/s
       128 bytes      1.52764 usec       167.579 MB/s
      1024 bytes      1.63578 usec          1252 MB/s
      8192 bytes      2.52394 usec       6491.44 MB/s
     65536 bytes      14.6447 usec       8950.16 MB/s
    524288 bytes      98.6569 usec       10628.5 MB/s
   4194304 bytes      2103.41 usec        3988.1 MB/s
  33554432 bytes      15553.4 usec       4314.74 MB/s
