    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes  =8.28088e+06*10^-6 usec   =3.86432e-06 MB/s
       128 bytes  =8.46288e+06*10^-6 usec   =3.02498e-05 MB/s
      1024 bytes  =8.41633e+06*10^-6 usec   =0.000243336 MB/s
      8192 bytes  =8.41346e+06*10^-6 usec   = 0.00194736 MB/s
     65536 bytes  =8.26768e+06*10^-6 usec   =  0.0158535 MB/s
    524288 bytes  =8.42561e+06*10^-6 usec   =   0.124451 MB/s
   4194304 bytes  =8.31048e+06*10^-6 usec   =     1.0094 MB/s
  33554432 bytes  =8.36734e+06*10^-6 usec   =    8.02033 MB/s
