    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes   =1.2545e+07 usec   =2.55083e-06 MB/s
       128 bytes    =1.402e+07 usec   =1.82596e-05 MB/s
      1024 bytes  =1.38994e+07 usec   =0.000147345 MB/s
      8192 bytes  =1.39421e+07 usec   = 0.00117515 MB/s
     65536 bytes  =1.41048e+07 usec   = 0.00929272 MB/s
    524288 bytes  =1.40691e+07 usec   =  0.0745303 MB/s
   4194304 bytes  =1.40885e+07 usec   =   0.595423 MB/s
  33554432 bytes  =1.40975e+07 usec   =     0.8542 MB/s
