    message size      transfertime  duplex bandwidth per process and neighbor
        16 bytes  =1.16382e+07*10^-6 usec   =2.74958e-06 MB/s
       128 bytes  =1.32756e+07*10^-6 usec   =1.92835e-05 MB/s
      1024 bytes  =1.33871e+07*10^-6 usec   =0.000152983 MB/s
      8192 bytes  =1.32868e+07*10^-6 usec   =  0.0012331 MB/s
     65536 bytes  = 1.3439e+07*10^-6 usec   = 0.00975308 MB/s
    524288 bytes  =1.34606e+07*10^-6 usec   =  0.0778999 MB/s
   4194304 bytes  =1.34384e+07*10^-6 usec   =   0.624227 MB/s
  33554432 bytes  =1.35952e+07*10^-6 usec   =    0.70503 MB/s
